b'\x95\xd1\x81AngleX: 68.71  Get AngleY: 79.56  Get AngleZ: -40.72\r\n'
b'Get AngleX: 69.19  Get AngleY: 79.73  Get AngleZ: -41.21\r\n'
b'Get AngleX: 69.34  Get AngleY: 79.87  Get AngleZ: -41.34\r\n'
b'Get AngleX: 69.38  Get AngleY: 79.90  Get AngleZ: -41.41\r\n'
b'Get AngleX: 69.32  Get AngleY: 79.88  Get AngleZ: -41.39\r\n'
b'Get AngleX: 69.26  Get AngleY: 79.98  Get AngleZ: -41.44\r\n'
b'Get AngleX: 69.33  Get AngleY: 79.96  Get AngleZ: -41.49\r\n'
b'Get AngleX: 69.38  Get AngleY: 79.90  Get AngleZ: -41.65\r\n'
b'Get AngleX: 69.67  Get AngleY: 80.07  Get AngleZ: -41.83\r\n'
b'Get AngleX: 70.02  Get AngleY: 79.93  Get AngleZ: -41.95\r\n'
b'Get AngleX: 70.28  Get AngleY: 79.86  Get AngleZ: -41.90\r\n'
b'Get AngleX: 70.72  Get AngleY: 79.71  Get AngleZ: -41.89\r\n'
b'Get AngleX: 70.83  Get AngleY: 79.55  Get AngleZ: -41.93\r\n'
b'Get AngleX: 71.03  Get AngleY: 79.25  Get AngleZ: -41.97\r\n'
b'Get AngleX: 70.98  Get AngleY: 79.24  Get AngleZ: -41.89\r\n'
b'Get AngleX: 71.78  Get AngleY: 79.09  Get AngleZ: -41.57\r\n'
b'Get AngleX: 71.86  Get AngleY: 79.04  Get AngleZ: -41.76\r\n'
b'Get AngleX: 72.46  Get AngleY: 78.96  Get AngleZ: -42.12\r\n'
b'Get AngleX: 72.56  Get AngleY: 78.92  Get AngleZ: -42.31\r\n'
b'Get AngleX: 72.58  Get AngleY: 78.97  Get AngleZ: -42.36\r\n'
b'Get AngleX: 77.04  Get AngleY: 77.49  Get AngleZ: -43.29\r\n'
b'Get AngleX: 79.35  Get AngleY: 77.92  Get AngleZ: -42.88\r\n'
b'Get AngleX: 79.47  Get AngleY: 78.02  Get AngleZ: -42.83\r\n'
b'Get AngleX: 82.00  Get AngleY: 75.31  Get AngleZ: -36.97\r\n'
b'Get AngleX: 82.89  Get AngleY: 73.91  Get AngleZ: -36.37\r\n'
b'Get AngleX: 81.56  Get AngleY: 71.08  Get AngleZ: -35.02\r\n'
b'Get AngleX: 74.40  Get AngleY: 69.26  Get AngleZ: -29.83\r\n'
b'Get AngleX: 73.53  Get AngleY: 74.08  Get AngleZ: -26.22\r\n'
b'Get AngleX: 73.39  Get AngleY: 76.03  Get AngleZ: -25.45\r\n'
b'Get AngleX: 73.64  Get AngleY: 79.78  Get AngleZ: -23.73\r\n'
b'Get AngleX: 75.30  Get AngleY: 83.64  Get AngleZ: -20.67\r\n'
b'Get AngleX: 75.63  Get AngleY: 83.98  Get AngleZ: -20.44\r\n'
b'Get AngleX: 76.15  Get AngleY: 83.84  Get AngleZ: -20.40\r\n'
b'Get AngleX: 76.92  Get AngleY: 83.06  Get AngleZ: -20.61\r\n'
b'Get AngleX: 77.49  Get AngleY: 82.41  Get AngleZ: -20.58\r\n'
b'Get AngleX: 79.12  Get AngleY: 80.05  Get AngleZ: -21.15\r\n'
b'Get AngleX: 79.46  Get AngleY: 80.00  Get AngleZ: -21.30\r\n'
b'Get AngleX: 80.34  Get AngleY: 79.34  Get AngleZ: -21.51\r\n'
b'Get AngleX: 82.22  Get AngleY: 78.36  Get AngleZ: -21.73\r\n'
b'Get AngleX: 82.44  Get AngleY: 77.51  Get AngleZ: -22.36\r\n'
b'Get AngleX: 82.85  Get AngleY: 76.85  Get AngleZ: -23.08\r\n'
b'Get AngleX: 83.51  Get AngleY: 76.50  Get AngleZ: -23.06\r\n'
b'Get AngleX: 82.12  Get AngleY: 76.68  Get AngleZ: -22.50\r\n'
b'Get AngleX: 82.31  Get AngleY: 76.30  Get AngleZ: -22.27\r\n'
b'Get AngleX: 82.89  Get AngleY: 76.10  Get AngleZ: -22.03\r\n'
b'Get AngleX: 83.35  Get AngleY: 75.53  Get AngleZ: -21.80\r\n'
b'Get AngleX: 84.23  Get AngleY: 75.31  Get AngleZ: -21.60\r\n'
b'Get AngleX: 84.67  Get AngleY: 74.68  Get AngleZ: -21.57\r\n'
b'Get AngleX: 84.69  Get AngleY: 73.98  Get AngleZ: -21.46\r\n'
b'Get AngleX: 85.07  Get AngleY: 73.68  Get AngleZ: -21.64\r\n'
b'Get AngleX: 85.46  Get AngleY: 73.37  Get AngleZ: -22.81\r\n'
b'Get AngleX: 87.35  Get AngleY: 73.04  Get AngleZ: -22.80\r\n'
b'Get AngleX: 88.57  Get AngleY: 71.91  Get AngleZ: -23.25\r\n'
b'Get AngleX: 89.01  Get AngleY: 72.02  Get AngleZ: -23.26\r\n'
