b' -3.68  Get AngleZ: 0.72\r\n'
b'Get AngleX: 1.93  Get AngleY: -3.69  Get AngleZ: 0.72\r\n'
b'Get AngleX: 1.93  Get AngleY: -3.71  Get AngleZ: 0.71\r\n'
b'Get AngleX: 1.94  Get AngleY: -3.71  Get AngleZ: 0.71\r\n'
b'Get AngleX: 1.93  Get AngleY: -3.72  Get AngleZ: 0.71\r\n'
b'Get AngleX: 1.97  Get AngleY: -3.76  Get AngleZ: 0.71\r\n'
b'Get AngleX: 1.97  Get AngleY: -3.78  Get AngleZ: 0.71\r\n'
b'Get AngleX: 1.96  Get AngleY: -3.80  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.97  Get AngleY: -3.81  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.95  Get AngleY: -3.82  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.96  Get AngleY: -3.83  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.95  Get AngleY: -3.83  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.93  Get AngleY: -3.84  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.94  Get AngleY: -3.85  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.95  Get AngleY: -3.83  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.94  Get AngleY: -3.84  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.93  Get AngleY: -3.85  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.95  Get AngleY: -3.82  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.98  Get AngleY: -3.84  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.98  Get AngleY: -3.84  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.98  Get AngleY: -3.84  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.96  Get AngleY: -3.84  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.96  Get AngleY: -3.86  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.97  Get AngleY: -3.85  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.96  Get AngleY: -3.85  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.98  Get AngleY: -3.85  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.97  Get AngleY: -3.86  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.97  Get AngleY: -3.86  Get AngleZ: 0.70\r\n'
b'Get AngleX: 1.96  Get AngleY: -3.86  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.96  Get AngleY: -3.86  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.95  Get AngleY: -3.85  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.95  Get AngleY: -3.85  Get AngleZ: 0.69\r\n'
b'Get AngleX: 1.93  Get AngleY: -3.88  Get AngleZ: 0.90\r\n'
b'Get AngleX: 1.78  Get AngleY: -3.94  Get AngleZ: 0.92\r\n'
b'Get AngleX: 2.46  Get AngleY: -3.72  Get AngleZ: 0.89\r\n'
b'Get AngleX: 2.45  Get AngleY: -3.72  Get AngleZ: 0.88\r\n'
b'Get AngleX: 2.41  Get AngleY: -3.70  Get AngleZ: 0.88\r\n'
b'Get AngleX: 2.40  Get AngleY: -3.58  Get AngleZ: 0.86\r\n'
