b'&84  Get AngleY: 48.49  Get AngleZ: 45.23\r\n'
b'Get AngleX: 12.90  Get AngleY: 48.93  Get AngleZ: 45.18\r\n'
b'Get AngleX: 12.56  Get AngleY: 49.03  Get AngleZ: 44.75\r\n'
b'Get AngleX: 12.71  Get AngleY: 49.73  Get AngleZ: 44.58\r\n'
b'Get AngleX: 12.72  Get AngleY: 49.06  Get AngleZ: 44.59\r\n'
b'Get AngleX: 13.38  Get AngleY: 49.53  Get AngleZ: 44.62\r\n'
b'Get AngleX: 13.44  Get AngleY: 49.61  Get AngleZ: 44.73\r\n'
b'Get AngleX: 13.37  Get AngleY: 49.22  Get AngleZ: 44.74\r\n'
b'Get AngleX: 13.63  Get AngleY: 48.84  Get AngleZ: 44.06\r\n'
b'Get AngleX: 13.48  Get AngleY: 48.69  Get AngleZ: 43.36\r\n'
b'Get AngleX: 13.10  Get AngleY: 48.68  Get AngleZ: 42.44\r\n'
b'Get AngleX: 13.34  Get AngleY: 50.47  Get AngleZ: 42.64\r\n'
b'Get AngleX: 13.28  Get AngleY: 50.73  Get AngleZ: 42.45\r\n'
b'Get AngleX: 13.41  Get AngleY: 50.83  Get AngleZ: 42.45\r\n'
b'Get AngleX: 13.49  Get AngleY: 50.64  Get AngleZ: 41.92\r\n'
b'Get AngleX: 13.19  Get AngleY: 51.45  Get AngleZ: 41.49\r\n'
b'Get AngleX: 12.92  Get AngleY: 51.04  Get AngleZ: 41.52\r\n'
b'Get AngleX: 12.77  Get AngleY: 52.16  Get AngleZ: 41.91\r\n'
b'Get AngleX: 12.78  Get AngleY: 51.74  Get AngleZ: 41.68\r\n'
b'Get AngleX: 12.67  Get AngleY: 52.02  Get AngleZ: 41.59\r\n'
b'Get AngleX: 12.88  Get AngleY: 52.54  Get AngleZ: 41.70\r\n'
b'Get AngleX: 12.69  Get AngleY: 52.38  Get AngleZ: 41.24\r\n'
b'Get AngleX: 12.68  Get AngleY: 52.31  Get AngleZ: 41.00\r\n'
b'Get AngleX: 12.48  Get AngleY: 52.45  Get AngleZ: 40.56\r\n'
b'Get AngleX: 12.02  Get AngleY: 52.43  Get AngleZ: 40.67\r\n'
b'Get AngleX: 11.81  Get AngleY: 52.59  Get AngleZ: 40.71\r\n'
b'Get AngleX: 11.65  Get AngleY: 52.91  Get AngleZ: 40.51\r\n'
b'Get AngleX: 11.50  Get AngleY: 52.64  Get AngleZ: 39.92\r\n'
b'Get AngleX: 10.59  Get AngleY: 51.32  Get AngleZ: 39.54\r\n'
b'Get AngleX: 10.92  Get AngleY: 52.43  Get AngleZ: 39.83\r\n'
b'Get AngleX: 10.53  Get AngleY: 52.68  Get AngleZ: 39.21\r\n'
b'Get AngleX: 9.84  Get AngleY: 53.92  Get AngleZ: 38.48\r\n'
